"Species","n","model","aic","intercept","road","forest","roadforest"
"ACFL",20027,1,53478.0586416924,3.75603201363252,NA,NA,NA
"ACFL",20027,2,53479.6327337229,3.7572316207001,-0.00573367442337443,NA,NA
"ACFL",20027,3,53470.9898282707,3.77772111140959,NA,-0.0298022915238056,NA
"ACFL",20027,4,53471.9398710621,3.78058619403505,-0.00900469867028575,-0.0310680296525871,NA
"ACFL",20027,5,53443.5475155331,3.76185057852491,0.0908364887637852,-0.00606387846039791,-0.148270871615721
"ACWO",7076,1,20635.8170103777,4.7386556409448,NA,NA,NA
"ACWO",7076,2,20611.1810569783,4.7523419411173,-0.122417225391803,NA,NA
"ACWO",7076,3,20569.089613909,4.77575916094688,NA,-0.178894782193865,NA
"ACWO",7076,4,20544.2288496247,4.7897290326813,-0.122577842452254,-0.180215826667763,NA
"ACWO",7076,5,20545.8088403809,4.79064789018017,-0.133991000788637,-0.184010391404628,0.0514049070434039
"ALFL",10078,1,23237.4940774845,4.31413772487581,NA,NA,NA
"ALFL",10078,2,23233.1642086419,4.30831613190213,0.033464256072727,NA,NA
"ALFL",10078,3,19988.1421822715,4.61614517224485,NA,-0.684170520204401,NA
"ALFL",10078,4,19917.6848567931,4.65058811195923,-0.12431953900295,-0.709959698828818,NA
"ALFL",10078,5,19917.3077036956,4.65471274476755,-0.146651513524896,-0.716766645969823,0.0679890162108212
"ALHU",2091,1,5540.49791607505,3.46578091296271,NA,NA,NA
"ALHU",2091,2,5540.66380983953,3.4722700984606,-0.0430088478464179,NA,NA
"ALHU",2091,3,5531.48924689575,3.49715186888109,NA,-0.109122566161342,NA
"ALHU",2091,4,5531.30660957618,3.50476647025941,-0.0472861404242045,-0.111150533593541,NA
"ALHU",2091,5,5533.30655147463,3.5048127083693,-0.047228663844883,-0.111032709586248,-0.000274727199529078
"AMCR",72721,1,122099.360493961,5.04014369142788,NA,NA,NA
"AMCR",72721,2,117896.993981392,5.19610309220281,-0.447595261385632,NA,NA
"AMCR",72721,3,120385.614389423,5.17378182301659,NA,-0.318205302795299,NA
"AMCR",72721,4,115590.396253578,5.37392456996474,-0.487125354628234,-0.388405005193686,NA
"AMCR",72721,5,114418.616852588,5.49899923834843,-0.750913808324571,-0.599031474545523,0.600618216297568
"AMDI",297,1,573.346396065372,3.94351051225617,NA,NA,NA
"AMDI",297,2,574.888962897609,3.95528997248842,-0.0548582054867312,NA,NA
"AMDI",297,3,573.457961075528,3.99541355230758,NA,-0.122814037417232,NA
"AMDI",297,4,574.878547622896,4.0109498191113,-0.062245097649407,-0.127761654465038,NA
"AMDI",297,5,576.823107416998,4.01470273738461,-0.085883423129693,-0.136189366714554,0.0607860524246482
"AMGO",32413,1,111778.803500242,4.27123710459176,NA,NA,NA
"AMGO",32413,2,108939.18462006,4.37057754184666,-0.298734358430452,NA,NA
"AMGO",32413,3,110399.321771552,4.32430402467585,NA,-0.285255758898585,NA
"AMGO",32413,4,107264.14515648,4.43911709972979,-0.316759091487048,-0.329688720658236,NA
"AMGO",32413,5,107249.606060375,4.44301087000285,-0.330310773595893,-0.3457752648451,0.0767533263519112
"AMKE",2362,1,6697.76609933099,4.95395079412628,NA,NA,NA
"AMKE",2362,2,6687.94730058422,4.97412477739864,-0.166601093726383,NA,NA
"AMKE",2362,3,6699.61583581859,4.9496179847453,NA,0.0148490667156,NA
"AMKE",2362,4,6689.91958727594,4.97217176470795,-0.166555153659961,0.00651067208228969,NA
"AMKE",2362,5,6689.05682003106,4.97826293182102,-0.215509471750165,-0.0139874680518702,0.241983871901086
"AMPI",1141,1,9756.97312602735,4.44336617895914,NA,NA,NA
"AMPI",1141,2,9742.66758651888,4.45095229850325,-0.263111014813965,NA,NA
"AMPI",1141,3,9755.84557022249,4.46074938828413,NA,-0.0454578674526762,NA
"AMPI",1141,4,9740.20826491842,4.47218904039708,-0.274740121544006,-0.0548893344263674,NA
"AMPI",1141,5,9739.47061239759,4.47009676823445,-0.207370786191689,-0.0495110851502217,-0.350800234061173
"AMRE",18823,1,41385.6865627375,3.99705221332354,NA,NA,NA
"AMRE",18823,2,41382.8435389907,3.99284842217048,0.0210131976536826,NA,NA
"AMRE",18823,3,37664.8704412153,4.30354661154043,NA,-0.547681418806619,NA
"AMRE",18823,4,37625.1766280387,4.32427594063613,-0.0650891795418101,-0.559665323903275,NA
"AMRE",18823,5,37626.5022716239,4.3223144249078,-0.0537164888241204,-0.556699155012457,-0.0226012818750552
"AMRO",88426,1,311228.395468391,4.46706203224797,NA,NA,NA
"AMRO",88426,2,306811.032130309,4.5359459575123,-0.259431709090577,NA,NA
"AMRO",88426,3,309428.945321544,4.52403851374661,NA,-0.176155925040961,NA
"AMRO",88426,4,304080.54085017,4.61769564761139,-0.289789392959102,-0.224701659324816,NA
"AMRO",88426,5,303924.947717538,4.62830317178006,-0.326447686988212,-0.250625185259227,0.135804643514137
"ANHU",4460,1,14336.4190614502,3.73801498062611,NA,NA,NA
"ANHU",4460,2,14327.360353757,3.74763534022485,-0.0749251670333513,NA,NA
"ANHU",4460,3,14122.8550793169,3.81578376629435,NA,-0.363710270884469,NA
"ANHU",4460,4,14110.887208699,3.8276433809857,-0.0851914243629396,-0.367652264744107,NA
"ANHU",4460,5,14110.625098424,3.82491381814061,-0.0581932791717648,-0.356616600074324,-0.131099211544848
"ATFL",13905,1,50115.1670960462,4.51407536685417,NA,NA,NA
"ATFL",13905,2,50111.9374557716,4.51731872566877,-0.0408736184157594,NA,NA
"ATFL",13905,3,49995.8878221173,4.4836193556903,NA,0.150528237755487,NA
"ATFL",13905,4,49993.4029131495,4.48680641897469,-0.0379493030204353,0.150098576955061,NA
"ATFL",13905,5,49992.3623646358,4.48546212065106,-0.0215285220683998,0.156684494114491,-0.0927561502177781
"ATSP",159,1,267.406899157071,4.02006907223202,NA,NA,NA
"ATSP",159,2,269.210435468905,4.0221458472864,-0.118169639104848,NA,NA
"ATSP",159,3,267.755837052544,4.05945145525905,NA,-0.12364539506517,NA
"ATSP",159,4,269.698570374659,4.05948948205765,-0.0640716330261974,-0.120314647813813,NA
"ATSP",159,5,269.172077864942,4.06268791437483,-2.47027015293862,-0.13040513243852,3.13422825566083
"ATTW",933,1,4390.48010273604,4.39294106602083,NA,NA,NA
"ATTW",933,2,4370.1970010735,4.40996775130185,-0.358293440345166,NA,NA
"ATTW",933,3,4382.37057332163,4.44681756415838,NA,-0.119058688072337,NA
"ATTW",933,4,4359.19039736237,4.47271373998618,-0.385230338693022,-0.13550292559816,NA
"ATTW",933,5,4361.19076117816,4.47294105715195,-0.385988776044631,-0.1354964887235,0.00369294354036882
"BACS",2819,1,7789.64824550053,4.4764906454036,NA,NA,NA
"BACS",2819,2,7790.68708620749,4.47101270940851,0.0316524058779426,NA,NA
"BACS",2819,3,7761.38292286382,4.61076215627396,NA,-0.187712132089693,NA
"BACS",2819,4,7762.02165650623,4.60477569675254,0.0378450887003101,-0.188815158344654,NA
"BACS",2819,5,7764.0216132726,4.60464069417331,0.0373622694057738,-0.188477998484369,0.000256762118242979
"BADO",1452,1,2116.97186369726,4.75959977828825,NA,NA,NA
"BADO",1452,2,2118.40067908147,4.74859809941262,0.0506263335087948,NA,NA
"BADO",1452,3,2094.16690685989,4.93668413256325,NA,-0.32013570313497,NA
"BADO",1452,4,2095.80251553481,4.92707785897683,0.0404280880487057,-0.318542172807142,NA
"BADO",1452,5,2079.67262682788,4.85494599790712,0.573810327688263,-0.197997925194372,-0.811510530994063
"BAEA",454,1,918.476031276277,4.8351783102738,NA,NA,NA
"BAEA",454,2,917.477340249169,4.79590728886068,0.162858228327813,NA,NA
"BAEA",454,3,920.462430837916,4.83136740018516,NA,0.0111169476341731,NA
"BAEA",454,4,919.356069762265,4.78338324189392,0.166777789282559,0.0337882019086257,NA
"BAEA",454,5,921.341248024994,4.78143382501764,0.175985932851408,0.0387825986194711,-0.032376989838856
"BAIS",869,1,5678.42481429661,4.40905274450498,NA,NA,NA
"BAIS",869,2,5680.38514156049,4.40978068859037,-0.0127880882196886,NA,NA
"BAIS",869,3,5678.61850016183,4.39315969914933,NA,0.0465300127613947,NA
"BAIS",869,4,5680.51927087916,4.39387017070586,-0.0202205514436195,0.0475118171604091,NA
"BAIS",869,5,5682.39377773042,4.39291082232065,0.00355549697586445,0.0510034744197901,-0.0494933635953094
"BANS",1248,1,11158.6744059068,4.26251749663387,NA,NA,NA
"BANS",1248,2,10386.2141447132,4.40529458400223,-0.41525170435109,NA,NA
"BANS",1248,3,11160.6740307585,4.26260064089907,NA,-0.000823181349577316,NA
"BANS",1248,4,10378.4399489139,4.41527344054918,-0.420695202048778,-0.0983299357207813,NA
"BANS",1248,5,10380.3263863363,4.41472606683125,-0.418908788519428,-0.094745913582175,-0.0323137207750894
"BAOR",5189,1,7744.86616027406,4.24681637665801,NA,NA,NA
"BAOR",5189,2,7624.42838753519,4.34534057062468,-0.178338872752245,NA,NA
"BAOR",5189,3,7593.75458542618,4.30606158991275,NA,-0.320198944208198,NA
"BAOR",5189,4,7438.80017451042,4.43068343187249,-0.207412247201027,-0.365390581156709,NA
"BAOR",5189,5,7409.50760515821,4.45971463262192,-0.267236190502519,-0.473990458188477,0.30788092145857
"BARS",13540,1,69427.6084068435,4.32122909278791,NA,NA,NA
"BARS",13540,2,64818.3800647242,4.53310655021479,-0.479541848131003,NA,NA
"BARS",13540,3,69415.6791778486,4.32589827678394,NA,-0.0500798966386517,NA
"BARS",13540,4,64725.5803544245,4.5498795196477,-0.485672409154517,-0.14365504542623,NA
"BARS",13540,5,64722.9784636636,4.55236652471769,-0.491888167790316,-0.162559942626183,0.0702899835877622
"BAWW",25224,1,56881.9335049802,3.851966916429,NA,NA,NA
