"BCR1","BCR2","BCR3","BCR4","BCR5","BCR6","BCR7","BCR8","BCR9","BCR10","BCR11","BCR12","BCR13","BCR14","BCR15","BCR16","BCR17","BCR18","BCR19","BCR20","BCR21","BCR22","BCR23","BCR24","BCR25","BCR26","BCR27","BCR28","BCR29","BCR30","BCR31","BCR32","BCR33","BCR34","BCR35","BCR36","BCR37","BCR38","BCR39","BCR40","Species","model"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.13828272059122,-0.274346499016169,0.00490244052200651,0.0137053481830621,0.380046622588788,-0.231491446423903,NA,0.164319538799323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.15919044199114,0.0753179318622865,0.0194711750893306,-0.256049533138002,0.548048664090513,-0.150208877960839,NA,-0.132939215706013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.210569030641056,0.203915529926206,-0.111296762111556,-0.279732490856841,0.141085212378446,-0.205348791574426,NA,0.00704535144928702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",15
NA,NA,NA,NA,0,NA,NA,NA,-1.33134034854867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435319692789435,NA,-1.83054651882971,NA,NA,NA,NA,NA,NA,"ACWO",11
NA,NA,NA,NA,0,NA,NA,NA,-0.0137689101897252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805558801694003,NA,-0.591378503051785,NA,NA,NA,NA,NA,NA,"ACWO",14
NA,NA,NA,NA,0,NA,NA,NA,-3.39990157319371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6482302127029,NA,-0.755047794964368,NA,NA,NA,NA,NA,NA,"ACWO",15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALFL",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALFL",14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALFL",15
NA,NA,NA,NA,0,0.0127517808900994,NA,-0.00567084434822442,0.0184930186164208,-0.0055990370588842,-0.00428856290855172,-0.0132978321058883,-0.00223950300870489,0.0175967484907573,NA,0.019348415450862,0.0197775428409839,-0.00343190463861531,0.0350182759979654,NA,0.0169838314272177,-0.00730342397945593,-0.00842759141514723,0.0183216834587562,0.00730728718339848,0.0327427135977119,0.0272579912627051,-0.00447054990750007,NA,-0.00423589121669678,-0.00421236393849512,NA,NA,0.014292990429808,NA,NA,NA,NA,NA,NA,"AMCR",11
NA,NA,NA,NA,0,0.0159004366427083,NA,-0.00591360010540468,0.02355491759711,-0.00685197128881026,-0.00414938636748461,-0.0134583360354,-0.00154763724865579,0.021715960549661,NA,0.0248731507642084,0.00671184298135407,-0.00278016875488175,-0.254647046027871,NA,0.0208801013058428,-0.00646551522614116,-0.0126279623086079,0.0213282973705519,0.00878414696809559,0.0762278591202269,0.0276189974033814,-0.00501481591463033,NA,-0.00350277754637803,-0.00611500088472596,NA,NA,0.0177555555858705,NA,NA,NA,NA,NA,NA,"AMCR",14
NA,NA,NA,NA,0,0.0152094607185719,NA,-0.00598755315997014,0.0234357840158811,-0.00672208678170175,-0.00399059099280698,-0.0129880136314162,-0.0015274005798853,0.0215364884632332,NA,0.0247203148206189,0.0048936736448537,-0.00354668490972523,-0.254886775639519,NA,0.0207192653448232,-0.00658850965270086,-0.00934486600671786,0.0224703673488342,0.00876980732862311,0.036108161058305,0.0302753450287591,-0.00453509720121351,NA,-0.00354957793286841,-0.00627727980850696,NA,NA,0.0176509226583418,NA,NA,NA,NA,NA,NA,"AMCR",15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMDI",11
