Species,d_model,d_n,d_int,d_roaddist,d_forest,d_roaddistforest,logtau
ACFL,5,1510,3.841360798,4.04E-07,-0.000468245,0.007084758,NA
ACWO,1,530,4.779573749,NA,NA,NA,NA
AGWT,1,91,5.018407002,NA,NA,NA,NA
ALFL,4,9755,4.250173839,6.97E-06,-0.287846957,NA,NA
AMAV,3,239,4.715821774,NA,0.343845431,NA,NA
AMBI,3,180,4.963758238,NA,1.421892191,NA,NA
AMCO,2,280,5.458551521,0.000559998,NA,NA,NA
AMCR,5,29915,4.891828769,1.20E-05,0.139797319,-2.45E-05,NA
AMDI,1,51,4.177726252,NA,NA,NA,NA
AMGO,2,19526,4.088891646,1.45E-06,NA,NA,NA
AMKE,1,1886,4.985114407,NA,NA,NA,NA
AMPI,4,1373,4.380266756,-5.00E-06,-0.102876967,NA,NA
AMRE,3,15407,4.350522048,NA,-0.564301683,NA,NA
AMRO,4,70785,4.373289387,5.65E-06,-0.116944514,NA,NA
AMWI,1,220,5.012202606,NA,NA,NA,NA
ANHU,1,111,3.507951497,NA,NA,NA,NA
ATFL,1,6515,4.65709663,NA,NA,NA,NA
ATSP,1,198,4.035427884,NA,NA,NA,NA
ATTW,2,1316,4.186765217,-7.53E-06,NA,NA,NA
AUWA,3,5513,4.095858186,NA,-0.055034094,NA,NA
AWPE,5,317,5.385617264,-0.000515317,-0.875064702,0.003062241,NA
BADO,1,171,5.194253468,NA,NA,NA,NA
BAEA,1,185,5.0630168,NA,NA,NA,NA
BAIS,4,4673,4.78443256,-2.49E-05,-0.288730289,NA,NA
BANS,3,1093,4.021698889,NA,0.156715998,NA,NA
BAOR,2,4678,4.140000775,2.88E-06,NA,NA,NA
BARS,5,10154,4.05107917,2.26E-07,0.092347475,5.37E-05,NA
BAWW,4,11028,4.197726405,1.13E-06,-0.405598033,NA,NA
BBCU,4,1165,4.567814373,1.98E-05,-0.025469973,NA,NA
BBMA,4,6622,5.296867415,6.36E-06,0.169451882,NA,NA
BBWA,5,4269,3.601486441,4.16E-06,0.028020109,-6.84E-06,NA
BBWO,3,542,4.150988591,NA,-0.261424627,NA,NA
BCCH,4,20719,4.297393373,3.05E-06,-0.351895754,NA,NA
BCFL,1,57,4.953934269,NA,NA,NA,NA
BCHU,1,667,3.522797746,NA,NA,NA,NA
BCRF,1,137,4.52275159,NA,NA,NA,NA
BCSP,1,818,4.46075117,NA,NA,NA,NA
BCTI,3,194,4.771659389,NA,0.883798778,NA,NA
BEKI,4,809,4.316263954,3.57E-06,-0.262291124,NA,NA
