Species,r_model,r_n,r_int,r_roaddist,r_forest,r_roaddistforest
ACFL,2,1555,-0.524434368,-1.42E-06,NA,NA
ACWO,1,529,-1.609117044,NA,NA,NA
AGWT,1,91,-1.153931395,NA,NA,NA
ALFL,2,6585,-1.183765487,-1.04E-06,NA,NA
AMAV,4,291,-1.046068765,0.000163706,-0.488853865,NA
AMBI,1,217,-1.845370723,NA,NA,NA
AMCO,1,417,-24.25622192,NA,NA,NA
AMCR,3,25860,-1.332928682,NA,0.152293005,NA
AMDI,1,51,-1.707296553,NA,NA,NA
AMGO,1,11183,-2.228349806,NA,NA,NA
AMKE,1,1876,-2.256822913,NA,NA,NA
AMPI,1,1397,-0.934152269,NA,NA,NA
AMRE,4,9917,-1.377744245,6.89E-07,0.226573398,NA
AMRO,2,57925,-1.259555437,-5.87E-07,NA,NA
AMWI,5,304,-0.611016991,-0.001024185,-10.92727959,0.005146164
ANHU,1,111,-1.745083801,NA,NA,NA
ATFL,1,6499,-0.941040812,NA,NA,NA
ATSP,1,193,-1.163083868,NA,NA,NA
ATTW,3,1337,-1.289679149,NA,-0.435989353,NA
AUWA,1,5513,-0.895230975,NA,NA,NA
AWPE,4,346,-2.0417175,0.000726783,-1.139786713,NA
BADO,1,171,-1.495749351,NA,NA,NA
BAEA,1,191,-2.679595431,NA,NA,NA
BAIS,1,3278,-0.681679101,NA,NA,NA
BANS,1,675,-1.081073444,NA,NA,NA
BAOR,1,2096,-2.348738273,NA,NA,NA
BARS,2,5956,-1.837162526,1.70E-06,NA,NA
BAWW,2,9538,-1.392267134,-7.71E-07,NA,NA
BBCU,1,855,-2.038091735,NA,NA,NA
BBMA,1,7042,-1.172758612,NA,NA,NA
BBWA,3,2367,-1.737467774,NA,0.515125237,NA
BBWO,1,454,-1.639547894,NA,NA,NA
BCCH,2,14708,-1.609055895,-6.90E-07,NA,NA
BCFL,1,56,-0.985128174,NA,NA,NA
BCHU,2,666,-1.578317923,-0.000878772,NA,NA
BCNH,1,61,-0.954430559,NA,NA,NA
BCRF,1,136,-1.667966157,NA,NA,NA
BCSP,1,813,-0.901223034,NA,NA,NA
BCTI,1,194,-1.16304828,NA,NA,NA
BEKI,1,441,-2.583336497,NA,NA,NA
BEVI,1,351,-0.818999349,NA,NA,NA
BEWR,1,4180,-0.887317463,NA,NA,NA
BGGN,2,6835,-0.877873189,-1.00E-06,NA,NA
BHCO,1,32981,-1.836697047,NA,NA,NA
BHGR,1,6331,-1.096819398,NA,NA,NA
BHNU,1,79,-1.346953748,NA,NA,NA
BHVI,3,3627,-1.641489804,NA,0.200278091,NA
BLBW,3,6261,-1.306348608,NA,-0.365597042,NA
BLGR,1,2349,-0.997741952,NA,NA,NA
BLJA,1,19447,-1.874999913,NA,NA,NA
BLPW,1,556,-1.596774668,NA,NA,NA
BLRF,4,105,-9.680448609,0.004936399,-63.44764714,NA
BLTE,1,248,-1.417760454,NA,NA,NA
BLVU,1,307,-1.482594326,NA,NA,NA
BNST,4,70,-1.372826866,0.001110957,1.960481233,NA
BOBO,3,4484,-1.284630426,NA,0.434148417,NA
BOCH,2,1599,-1.776616518,-1.70E-05,NA,NA
BOSP,1,210,-0.813242724,NA,NA,NA
BOWA,1,50,-18.54381379,NA,NA,NA
BRBL,4,4986,-1.461488142,2.22E-06,0.181523055,NA
BRCR,2,5913,-1.420489558,-2.92E-06,NA,NA
BRSP,1,21786,-0.754304313,NA,NA,NA
BRTH,1,2892,-1.60299257,NA,NA,NA
BRTI,1,68,-1.600892002,NA,NA,NA
BTBW,1,1179,-1.417161985,NA,NA,NA
