"Code","Common_Name","Scientific_Name","Family","removal","distance"
"MOUQ","Mountain Quail","Oreortyx pictus","Odontophoridae",1,1
"NOBO","Northern Bobwhite","Colinus virginianus","Odontophoridae",1,1
"SCQU","Scaled Quail","Callipepla squamata","Odontophoridae",1,1
"CAQU","California Quail","Callipepla californica","Odontophoridae",1,1
"GAQU","Gambel's Quail","Callipepla gambelii","Odontophoridae",1,1
"WITU","Wild Turkey","Meleagris gallopavo","Phasianidae",1,1
"RUGR","Ruffed Grouse","Bonasa umbellus","Phasianidae",1,1
"SPGR","Spruce Grouse","Falcipennis canadensis","Phasianidae",1,1
"WIPT","Willow Ptarmigan","Lagopus lagopus","Phasianidae",1,1
"ROPT","Rock Ptarmigan","Lagopus muta","Phasianidae",1,0
"WTPT","White-tailed Ptarmigan","Lagopus leucura","Phasianidae",1,1
"GRSG","Greater Sage-Grouse","Centrocercus urophasianus","Phasianidae",1,1
"DUGR","Dusky Grouse","Dendragapus obscurus","Phasianidae",1,1
"SOGR","Sooty Grouse","Dendragapus fuliginosus","Phasianidae",1,1
"STGR","Sharp-tailed Grouse","Tympanuchus phasianellus","Phasianidae",1,1
"GRPC","Greater Prairie-Chicken","Tympanuchus cupido","Phasianidae",1,1
"GRAP","Gray Partridge","Perdix perdix","Phasianidae",1,0
"RNEP","Ring-necked Pheasant","Phasianus colchicus","Phasianidae",1,1
"CHUK","Chukar","Alectoris chukar","Phasianidae",1,1
"ROPI","Rock Pigeon","Columba livia","Columbidae",1,1
"BTPI","Band-tailed Pigeon","Patagioenas fasciata","Columbidae",1,1
"EUCD","Eurasian Collared-Dove","Streptopelia decaocto","Columbidae",1,1
"WWDO","White-winged Dove","Zenaida asiatica","Columbidae",1,1
"ZEND","Zenaida Dove","Zenaida aurita","Columbidae",1,0
"MODO","Mourning Dove","Zenaida macroura","Columbidae",1,1
"GRRO","Greater Roadrunner","Geococcyx californianus","Cuculidae",1,1
"YBCU","Yellow-billed Cuckoo","Coccyzus americanus","Cuculidae",1,1
"MACU","Mangrove Cuckoo","Coccyzus minor","Cuculidae",1,0
"BBCU","Black-billed Cuckoo","Coccyzus erythropthalmus","Cuculidae",1,1
"CONI","Common Nighthawk","Chordeiles minor","Caprimulgidae",1,1
"COPO","Common Poorwill","Phalaenoptilus nuttallii","Caprimulgidae",1,1
"CWWI","Chuck-will's-widow","Antrostomus carolinensis","Caprimulgidae",1,1
"CHSW","Chimney Swift","Chaetura pelagica","Apodidae",1,1
"VASW","Vaux's Swift","Chaetura vauxi","Apodidae",1,1
"WTSW","White-throated Swift","Aeronautes saxatalis","Apodidae",1,1
"RTHU","Ruby-throated Hummingbird","Archilochus colubris","Trochilidae",1,1
"BCHU","Black-chinned Hummingbird","Archilochus alexandri","Trochilidae",1,1
"ANHU","Anna's Hummingbird","Calypte anna","Trochilidae",1,1
"CAHU","Calliope Hummingbird","Selasphorus calliope","Trochilidae",1,1
"RUHU","Rufous Hummingbird","Selasphorus rufus","Trochilidae",1,1
"ALHU","Allen's Hummingbird","Selasphorus sasin","Trochilidae",1,1
"BTHU","Broad-tailed Hummingbird","Selasphorus platycercus","Trochilidae",1,1
"BLVU","Black Vulture","Coragyps atratus","Cathartidae",1,1
"TUVU","Turkey Vulture","Cathartes aura","Cathartidae",1,1
"OSPR","Osprey","Pandion haliaetus","Pandionidae",1,1
"WTKI","White-tailed Kite","Elanus leucurus","Accipitridae",0,1
"GOEA","Golden Eagle","Aquila chrysaetos","Accipitridae",1,1
"NOHA","Northern Harrier","Circus hudsonius","Accipitridae",1,1
"SSHA","Sharp-shinned Hawk","Accipiter striatus","Accipitridae",1,1
"COHA","Cooper's Hawk","Accipiter cooperii","Accipitridae",1,1
"NOGO","Northern Goshawk","Accipiter gentilis","Accipitridae",1,1
"BAEA","Bald Eagle","Haliaeetus leucocephalus","Accipitridae",1,1
"MIKI","Mississippi Kite","Ictinia mississippiensis","Accipitridae",1,1
"RSHA","Red-shouldered Hawk","Buteo lineatus","Accipitridae",1,1
"BWHA","Broad-winged Hawk","Buteo platypterus","Accipitridae",1,1
"SWHA","Swainson's Hawk","Buteo swainsoni","Accipitridae",1,1
"RTHA","Red-tailed Hawk","Buteo jamaicensis","Accipitridae",1,1
"FEHA","Ferruginous Hawk","Buteo regalis","Accipitridae",1,1
"EASO","Eastern Screech-Owl","Megascops asio","Strigidae",1,1
"GHOW","Great Horned Owl","Bubo virginianus","Strigidae",1,1
"NOPO","Northern Pygmy-Owl","Glaucidium gnoma","Strigidae",1,1
"BUOW","Burrowing Owl","Athene cunicularia","Strigidae",1,1
"BADO","Barred Owl","Strix varia","Strigidae",1,1
"SEOW","Short-eared Owl","Asio flammeus","Strigidae",1,1
"BEKI","Belted Kingfisher","Megaceryle alcyon","Alcedinidae",1,1
"LEWO","Lewis's Woodpecker","Melanerpes lewis","Picidae",1,1
"RHWO","Red-headed Woodpecker","Melanerpes erythrocephalus","Picidae",1,1
"ACWO","Acorn Woodpecker","Melanerpes formicivorus","Picidae",1,1
"GIWO","Gila Woodpecker","Melanerpes uropygialis","Picidae",1,1
"GFWO","Golden-fronted Woodpecker","Melanerpes aurifrons","Picidae",1,1
"RBWO","Red-bellied Woodpecker","Melanerpes carolinus","Picidae",1,1
"WISA","Williamson's Sapsucker","Sphyrapicus thyroideus","Picidae",1,1
