"State","Counts"
"AB",61933
"AK",0
"AL",365
"AR",1534
"AZ",12223
"BC",15285
"CA",82212
"CO",37287
"CT",556
"DE",0
"FL",1301
"GA",0
"IA",7353
"ID",16680
"IL",2692
"IN",4173
"KS",1760
"KY",0
"LA",2880
"MA",3031
"MB",24180
"MD",1182
"ME",1130
"MI",1170
"MN",43867
"MO",5735
"MS",11980
"MT",23017
"NB",7579
"NC",2729
"ND",4282
"NE",4287
"NH",1037
"NJ",6630
"NL",289
"NM",2601
"NS",5620
"NT",4807
"NU",0
"NV",1695
"NY",6520
"OH",10
"OK",2629
"ON",55554
"OR",32645
"PA",0
"PE",0
"QC",13816
"RI",0
"SC",365
"SD",10902
"SK",9289
"TN",455
"TX",4990
"UT",13670
"VA",0
"VT",5782
"WA",2008
"WI",16395
"WV",0
"WY",27317
"YT",0
